ComplexName	subunits(UniProt IDs)	subunits(Entrez IDs)	GO description	FunCat description	subunits(Gene name)	Subunits comment	Complex comment	Disease comment
Er-alpha-p53-hdm2 complex	P03372;P04637;Q00987	2099;7157;4193	enzyme regulator activity;regulation of catalytic activity	enzymatic activity regulation / enzyme regulator	ESR1;TP53;MDM2	None	The authors demonstrated that ER-alpha protects p53 from being deactivated by hdm2 in a Luc reporter assay.	None
"FOXO3-TP53 complex, oxidative stress stimulated"	O43524;P04637	2309;7157	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;response to reactive oxygen species;response to oxidative stress;nucleus"	transcriptional control;oxidative stress response;nucleus	FOXO3;TP53	None	None	None
p53-SP1 complex	P04637;P08047	7157;6667	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;nucleus"	transcriptional control;DNA binding;nucleus	TP53;SP1	None	"The authors provide evidence that p53 repressed the RECQ4 promoter by forming a complex with the transcription factor, SP1, and by regulating promoter occupancy of both itself and SP1 in concert with histone deacetylase 1 (HDAC1). The formation of this complex is camptothecin-dependent."	None
p53 homotetramer complex	P04637	7157	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;nucleus"	transcriptional control;DNA binding;nucleus	TP53	None	"The results demonstrate that Ref-1 (redox factor 1) modulates p53 DNA binding not only as a redox regulator but also as a factor, which facilitates the formation of p53 tetramers from higher oligomeric forms as well as from dimers. Ref-1 mediates de-stacking of higher oligomeric forms into individual tetramers, as well as the assembly of dimers into tetramers. Redox-dependent and redox-independent activation of p53 seem to require different amounts of Ref-1."	None
RNA polymerase II (RNAPII)	O15514;P13984;P19387;P19388;P24928;P30876;P35269;P36954;P52434;P52435;P53803;P61218;P62487;P62875;Q00403;Q9BWH6;Q9Y5B0	5433;2963;5432;5434;5430;5431;2962;5438;5437;5439;5440;5435;5436;5441;2959;26015;9150	"transcription, DNA-templated;DNA binding;nucleus"	TRANSCRIPTION;DNA binding;nucleus	POLR2D;GTF2F2;POLR2C;POLR2E;POLR2A;POLR2B;GTF2F1;POLR2I;POLR2H;POLR2J;POLR2K;POLR2F;POLR2G;POLR2L;GTF2B;RPAP1;CTDP1	None	The authors demonstrate the purification of a functionally active human RNAPII by the use of doubly tagged subunits expressed in mammalian cells.	None
BRCA1-core RNA polymerase II complex	O15514;P19387;P19388;P24928;P30876;P36954;P38398;P52434;P52435;P53803;P61218;P62487;P62875	5433;5432;5434;5430;5431;5438;672;5437;5439;5440;5435;5436;5441	"transcription, DNA-templated;DNA binding;nucleus"	TRANSCRIPTION;DNA binding;nucleus	POLR2D;POLR2C;POLR2E;POLR2A;POLR2B;POLR2I;BRCA1;POLR2H;POLR2J;POLR2K;POLR2F;POLR2G;POLR2L	None	The transcriptional coactivator BRCA1 interacts directly with the core Pol II complex in vitro.	None
MMP14-CLDN1 complex	O95832;P50281	9076;4323	positive regulation of metallopeptidase activity;cell-cell junction organization	intercellular junction (gap junction/adherens junction)	CLDN1;MMP14	None	Claudin-5 was identified to promote the activation of pro-MMP-2 mediated by MT1-MMP in 293T cells.	None
SMAD3-SMAD4-cJun-cFos complex	P01100;P05412;P84022;Q13485	2353;3725;4088;4089	"positive regulation of transcription, DNA-templated;DNA binding;transforming growth factor beta receptor signaling pathway;nucleus"	transcription activation;DNA binding;TGF-beta-receptor signalling pathway;nucleus	FOS;JUN;SMAD3;SMAD4	None	None	None
NFAT-JUN-FOS DNA-protein complex	P01100;P05412;Q13469	2353;3725;4773	"positive regulation of transcription, DNA-templated;DNA binding;immune response"	transcription activation;DNA binding;immune response	FOS;JUN;NFATC2	None	NFAT and heterodimer Fos-Jun cooperatively bind a composite DNA site and synergistically activate the expression of many immune-response genes.	None
ERG-JUN-FOS DNA-protein complex	P01100;P05412;P11308	2353;3725;2078	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;nucleus"	transcriptional control;DNA binding;nucleus	FOS;JUN;ERG	None	"The authors demonstrated that amino acids Arg(367) and Tyr(371) of the ETS domain, but not Asp374, play an important role in the recruitment of the Jun/Fos heterodimer by Erg. The authors propose that interdependent protein-protein and protein-DNA contacts regulate Erg-Jun/Fos-DNA complex assembly."	None
ETS2-FOS-JUN complex	P01100;P05412;P15036	2353;3725;2114	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;nucleus"	transcriptional control;DNA binding;nucleus	FOS;JUN;ETS2	None	"The results suggest that stromelysin-1 promoter DNA can enhance the ETS2/Fos/Jun interaction, perhaps by stabilizing protein contacts."	None
ESR1-JUN-GRIP1 complex	P03372;P05412;Q9Y3R0	2099;3725;23426	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;signaling"	transcriptional control;cellular signalling	ESR1;JUN;GRIP1	None	"The authors showed that ERalpha , c-Jun, and the p160 coactivator GRIP1 can form a multiprotein complex in vitro and in intact cells and that the ERalpha - c-Jun interaction could be crucial for the stability of this complex."	None
ESR1-JUN complex	P03372;P05412	2099;3725	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;signaling"	transcriptional control;DNA binding;cellular signalling	ESR1;JUN	None	All experiments demonstrated that ER-alpha and c-Jun could interact in mammalian cells in a ligand-dependent manner.	None
Ectodermin-SMAD4 complex	Q13485;Q9UPN9	4089;51592	protein ubiquitination;transforming growth factor beta receptor signaling pathway;nucleus	"modification by ubiquitination, deubiquitination;TGF-beta-receptor signalling pathway;nucleus"	SMAD4;TRIM33	None	None	None
SMAD3-SMAD4-CTCF protein-DNA complex	P49711;P84022;Q13485	10664;4088;4089	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;transforming growth factor beta receptor signaling pathway;nucleus"	transcriptional control;DNA binding;TGF-beta-receptor signalling pathway;nucleus	CTCF;SMAD3;SMAD4	None	"The authors demonstrated that TGF-beta increases APP gene transcription in NHAs (normal human astrocytes) through activation of the proximal APP promoter domain, (-488) base pairs (bp) relative to the transcription start site (+1). In the presence of TGF-beta stimulation, Smads 3 and 4 specifically associated with the CTCF-APBbeta complex, likely enhancing APP gene transcription."	None
SMAD3-SMAD4-SP1 complex	P08047;P84022;Q13485	6667;4088;4089	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;transforming growth factor beta receptor signaling pathway;nucleus"	transcriptional control;DNA binding;TGF-beta-receptor signalling pathway;nucleus	SP1;SMAD3;SMAD4	None	"The authors demonstrated that Sp1 and Smad3/Smad4 are able to bind the endoglin promoter at positions -50/-29 forming a multiprotein complex, and suggest their cooperation in the transcriptional activity of endoglin."	None
SMAD3-SMAD4-FOXO3-FOXG1 complex	O43524;P55316;P84022;Q13485	2309;2290;4088;4089	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;transforming growth factor beta receptor signaling pathway;nucleus"	transcriptional control;DNA binding;TGF-beta-receptor signalling pathway;nucleus	FOXO3;FOXG1;SMAD3;SMAD4	None	The results suggest that FoxG1 is a direct inhibitor of the FoxO-Smad transcriptional complex and a blocker of p21Cip1 induction by TGF-beta signals in neuroepithelial cells.	None
SMAD3-SMAD4-cJUN complex	P05412;P84022;Q13485	3725;4088;4089	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;transforming growth factor beta receptor signaling pathway;nucleus"	transcriptional control;TGF-beta-receptor signalling pathway;nucleus	JUN;SMAD3;SMAD4	None	"On TGF-beta  treatment, Smad3 and Smad4 heteromerize and enter the nucleus, where they can associate with TGF-beta-responsive promoters by binding a discreet DNA sequence and/or AP-1 members bound to AP-1 sites on the same promoter."	None
MMP-9-TIMP-1-LRP complex	P01033;P14780;Q07954	7076;4318;4035	enzyme regulator activity;regulation of catalytic activity;receptor-mediated endocytosis;extracellular matrix organization	enzymatic activity regulation / enzyme regulator;receptor-mediated endocytosis;extracellular matrix	TIMP1;MMP9;LRP1	None	"The binding to LRP was blocked when excess RAP (39-kDa receptor-associated protein) was incubated along with MMP-9. Further results indicated that MMP-9 directly binds to LRP even in the absence of TIMP-1 and that reduction of MMP-9 abolishes its ability to bind LRP. The authors summarize that LRP is a functional receptor for MMP-9 and confirm that LRP is capable of mediating the cellular uptake of at least three MMPs (MMP-2, MMP-13, and MMP-9)."	None
LRP-1-Alpha-2-M-annexin VI complex	P01023;P08133;Q07954	2;309;4035	receptor-mediated endocytosis	receptor-mediated endocytosis	A2M;ANXA6;LRP1	None	Cell surface annexin VI is involved in the binding of 125I-alpha-2M(activated) to LRP-1 at neutral pH and forms ternary complexes with 125I-alpha-2M(activated) and LRP-1 at neutral pH.	None
Amyloid beta protein homo-oligomer complex	P05067	351	negative regulation of long-term synaptic potentiation;regulation of long-term neuronal synaptic plasticity	None	APP	None	"Size fractionation showed that Abeta oligomers, not monomers or fibrils, were responsible for inhibiting long-term potentiation (LTP), and an Abeta antibody again prevented such inhibition."	None
"Ubiquitin E3 ligase (CHEK1, CUL1)"	O14757;Q13616	1111;8454	protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;cellular response to DNA damage stimulus;nucleus	"modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);DNA damage response;nucleus"	CHEK1;CUL1	None	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. The Chk1 kinase is a major effector of S phase checkpoint signaling during the cellular response to genotoxic stress. Replicative stress induces the polyubiquitination and degradation of Chk1 in human cells.	None
"Ubiquitin E3 ligase (CSN1, CSN8, HRT1, SKP1, SKP2, CUL1, CUL2, CUL3)"	P62877;P63208;Q13098;Q13309;Q13616;Q13617;Q13618;Q99627	9978;6500;2873;6502;8454;8453;8452;10920	ubiquitin-dependent protein catabolic process;cullin-RING ubiquitin ligase complex	proteasomal degradation (ubiquitin/proteasomal pathway)	RBX1;SKP1;GPS1;SKP2;CUL1;CUL2;CUL3;COPS8	None	"Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. SCF ubiquitin ligases consist of at least four subunits: CUL1 and HRT1 (=ROC1, RBX1), which  harbor a core ubiquitin ligase activity; a variable F-box protein that serves as a substrate receptor; and SKP1, which links the two modules together. Because CSN binds all cullins, it might be a global signal integrator that radiates its output onto various associated ubiquitin ligases to modulate their activity."	None
Elongator core complex	O95163;Q6IA86;Q9H9T3	8518;55250;55140	"DNA-templated transcription, elongation;nucleus"	transcription elongation;nucleus	IKBKAP;ELP2;ELP3	None	The core-Elongator complex does not have histone acetyltransferase activity despite containing the catalytic Elp3 subunit.	None
"Ubiquitin E3 ligase (TRIM25, DDX58)"	O95786;Q14258	23586;7706	protein ubiquitination;intracellular signal transduction;response to stimulus;cytoplasm;ubiquitin-dependent protein catabolic process	"modification by ubiquitination, deubiquitination;cellular signalling;animal specific systemic sensing and response;cytoplasm;proteasomal degradation (ubiquitin/proteasomal pathway)"	DDX58;TRIM25	None	"TRIM25 E3 ubiquitin ligase induces the Lys 63-linked ubiquitination of RIG-I, which is crucial for the cytosolic RIG-I signalling pathway to elicit host antiviral innate immunity."	None
MAD2-CDC20 complex	Q12834;Q13257	991;4085	cell cycle arrest;mitotic spindle assembly checkpoint;anaphase-promoting complex-dependent catabolic process	cell cycle arrest	CDC20;MAD2L1	None	The checkpoint protein Mad2 inhibits the activity of the anaphase promoting complex by sequestering Cdc20 until all chromosomes are aligned at the metaphase plate.	None
Casein kinase II-HMG1 complex	P09429;P19784;P67870;P68400	3146;1459;1460;1457	"protein phosphorylation;negative regulation of DNA-templated transcription, elongation;enzyme regulator activity"	"modification by phosphorylation, dephosphorylation, autophosphorylation;enzymatic activity regulation / enzyme regulator"	HMGB1;CSNK2A2;CSNK2B;CSNK2A1	None	"CK2 is comprised of the subunits CK2alpha , CK2alpha ', and CK2beta , and the differences in FCP1 kinase activity among the elution fractions reflect a dose-dependent effect related to the amount of CK2 present but do not depend on the presence of HMG1.Phosphorylation of FCP1 by CK2 inhibits the transcription elongation activity of FCP1."	None
"Casein kinase II (beta-dimer, alpha, alpha')"	P19784;P67870;P68400	1459;1460;1457	"protein phosphorylation;enzyme regulator activity;negative regulation of DNA-templated transcription, elongation"	"modification by phosphorylation, dephosphorylation, autophosphorylation;enzymatic activity regulation / enzyme regulator"	CSNK2A2;CSNK2B;CSNK2A1	None	CK2 phosphorylates FCP1 and RAP74. Phosphorylation of FCP1 by CK2 inhibits the transcription elongation activity of FCP1.	None
HCF-1 complex	O15047;O15294;O75182;O75446;P07900;P08047;P11021;P11142;P34932;P51610;P61964;Q09028;Q13547;Q16576;Q92769;Q96ST3;Q9H7L9;Q9UBL3	9739;8473;23309;8819;3320;6667;3309;3312;3308;3054;11091;5928;3065;5931;3066;25942;64426;9070	"DNA topological change;cytokinesis;barrier septum assembly;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;cell morphogenesis;cell growth;chromosome organization;nucleus;histone deacetylation;histone methylation"	DNA conformation modification (e.g. chromatin);cytokinesis (cell division) /septum formation and hydrolysis;transcriptional control;cell growth / morphogenesis;organization of chromosome structure;nucleus	SETD1A;OGT;SIN3B;SAP30;HSP90AA1;SP1;HSPA5;HSPA8;HSPA4;HCFC1;WDR5;RBBP4;HDAC1;RBBP7;HDAC2;SIN3A;SUDS3;ASH2L	"Since the authors did not specify HSP90A, we used HSP90AA1."	"HCF-1 can regulate transcription, both positively and negatively, through selective modulation of chromatin structure."	None
"Ubiquitin E3 ligase (DDB1, CUL4A, RBX1)"	P62877;Q13619;Q16531	9978;8451;1642	protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;cellular response to DNA damage stimulus	"modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);DNA damage response"	RBX1;CUL4A;DDB1	None	"Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. The ubiquitin E3 ligase (DDB1, CUL4A and RBX1) perfoms targeted ubiquitination of CDT1 in response to DNA damage."	None
ATM-NBN complex	O60934;Q13315	4683;472	cell cycle checkpoint;protein phosphorylation;protein autophosphorylation;cellular response to DNA damage stimulus;response to radiation;nucleus	"cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);modification by phosphorylation, dephosphorylation, autophosphorylation;DNA damage response;electromagnetic waves stress response (e.g. UV, X-ray);nucleus"	NBN;ATM	None	NBS1 (NBN) was co-immunoprecipitated by the ATM antibody from untreated cells and in increased quantities from cells treated with ionizing radiation. The results indicate that phosphorylation of Ser 278 and Ser 343 in NBS1 contributes to both cellular resistance to ionizing radiation and formation of foci that contain NBS1 in response to ionizing radiation.	None
"Ubiquitin E3 ligase (NFKBIA, BTRC, CUL1, SKP1A)"	P25963;P63208;Q13616;Q9Y297	4792;6500;8454;8945	protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process	"modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway)"	NFKBIA;SKP1;CUL1;BTRC	None	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. Ubiquitination-dependent destruction of NF-kappa-B inhibitor alpha is mediated by ubiquitin E3 ligases containing heterdimers and homodimers of beta-TrCP1 (BTRC) and beta-TrCP2 (FBXW11).	None
"Ubiquitin E3 ligase (NFKBIA, FBXW11, CUL1, SKP1A)"	P25963;P63208;Q13616;Q9UKB1	4792;6500;8454;23291	protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;cytoplasm;regulation of I-kappaB kinase/NF-kappaB signaling	"modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);cytoplasm"	NFKBIA;SKP1;CUL1;FBXW11	None	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. Ubiquitination-dependent destruction of NF-kappa-B inhibitor alpha is mediated by ubiquitin E3 ligases containing heterdimers and homodimers of beta-TrCP1 (BTRC) and beta-TrCP2 (FBXW11).	None
PXN-ITGB5-PTK2 complex	P18084;P49023;Q05397	3693;5829;5747	integrin-mediated signaling pathway	integrin receptor signalling pathway	ITGB5;PXN;PTK2	None	"The changes in the expression of PAR1 in a cell affect its invasive capabilities. These changes come about through the specific recruitment of the alpha(v)-beta 5 integrin, through cytoskeletal reorganization, and through distinct signaling at FACs."	None
SRC-3 complex	O14920;O15111;P10155;Q15596;Q92793;Q9Y6K9;Q9Y6Q9	3551;1147;6738;10499;1387;8517;8202	"positive regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;I-kappaB kinase/NF-kappaB signaling;signaling;inflammatory response;nucleus"	"transcription activation;modification by acetylation, deacetylation;NIK-I-kappaB/NF-kappaB cascade;cellular signalling;inflammatory response;nucleus"	IKBKB;CHUK;TROVE2;NCOA2;CREBBP;IKBKG;NCOA3	None	SRC-3 enhances NF-kappaB-mediated gene expression in concert with IKK.	None
SRC-1 complex	P10155;Q15596;Q15788;Q92793	6738;10499;8648;1387	I-kappaB kinase/NF-kappaB signaling;signaling;nucleus	NIK-I-kappaB/NF-kappaB cascade;cellular signalling;nucleus	TROVE2;NCOA2;NCOA1;CREBBP	None	None	None
Set1B complex	P61964;Q15291;Q6UXN9;Q9P0U4;Q9UBL3;Q9UPS6	11091;5929;80335;30827;9070;23067	DNA topological change;regulation of gene expression by genetic imprinting;protein hydroxylation;protein methylation;DNA binding;chromosome organization;nucleus	"DNA conformation modification (e.g. chromatin);DNA imprinting and other epigenetic effects;posttranslational modification of amino acids (e.g. hydroxylation, methylation);DNA binding;organization of chromosome structure;nucleus"	WDR5;KDM6B;WDR82;CXXC1;ASH2L;SETD1B	None	The SET1B complex is a methyltransferase that produces trimethylated histone H3 at Lysine 4.	None
Set1A complex	O15047;P61964;Q15291;Q6UXN9;Q9P0U4;Q9UBL3	9739;11091;5929;80335;30827;9070	DNA topological change;regulation of gene expression by genetic imprinting;protein hydroxylation;protein methylation;DNA binding;chromosome organization;nucleus	"DNA conformation modification (e.g. chromatin);DNA imprinting and other epigenetic effects;posttranslational modification of amino acids (e.g. hydroxylation, methylation);DNA binding;organization of chromosome structure;nucleus"	SETD1A;WDR5;KDM6B;WDR82;CXXC1;ASH2L	None	The SET1A complex is a methyltransferase that produces mono-di- and trimethylated histone H3 at Lysine 4.	None
APH1A-PSEN1-NCSTN complex	P49768;Q92542;Q96BI3	5663;23385;51107	proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;Notch signaling pathway;plasma membrane	proteasomal degradation (ubiquitin/proteasomal pathway);Notch-receptor signalling pathway;eukaryotic plasma membrane / membrane attached	PSEN1;NCSTN;APH1A	None	"Presenilin, nicastrin and mAPH1a are essential components of the gamma-secretase complex that is required for the intramembrane proteolysis of membrane proteins including the amyloid-beta precursor protein (APP) and Notch. The authors use the splice variant mAPH-1a-L for  experiments."	None
APH1A-PSEN2-NCSTN complex	P49810;Q92542;Q96BI3	5664;23385;51107	proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;Notch signaling pathway	proteasomal degradation (ubiquitin/proteasomal pathway);Notch-receptor signalling pathway	PSEN2;NCSTN;APH1A	None	"Presenilin, nicastrin and mAPH1a are essential components of the gamma-secretase complex that is required for the intramembrane proteolysis of membrane proteins including the amyloid-beta precursor protein (APP) and Notch. The authors use the splice variant mAPH-1a-L for  experiments. In an additional pull down experiment the authors show the interaction of APH1B with presenilin 2."	None
TROY-NGR-LINGO1 complex	Q96FE5;Q9BZR6;Q9NS68	84894;65078;55504	neurogenesis;generation of neurons;neuron projection development	neurogenesis	LINGO1;RTN4R;TNFRSF19	None	"The authors additionally analyzed interactions between TAJ-NgR1 and TAJ-LINGO-1. The authors show that TAJ/TROY (an orphan receptor in the TNF family), broadly expressed in postnatal and adult neurons, binds to NgR1 and can replace p75 in the p75/NgR1/LINGO-1 complex to activate RhoA in the presence of myelin inhibitors."	None
BLM complex II	P15927;P27694;P35244;P54132;Q13472;Q9H9A7	6118;6117;6119;641;7156;80010	chromosome organization;DNA repair;cellular response to DNA damage stimulus;nucleus	organization of chromosome structure;DNA repair;DNA damage response;nucleus	RPA2;RPA1;RPA3;BLM;TOP3A;RMI1	"Another subunit of the complex was found in the analysis, which has not been further characterized: BLAPp100."	None	BLM complex II is involved in Bloom syndrome (BS).
FA complex (Fanconi anemia complex)	O15287;O15360;P27694;P54132;Q00597;Q13472;Q8NB91;Q9H9A7;Q9HB96;Q9NPI8;Q9NW38	2189;2175;6117;641;2176;7156;2187;80010;2178;2188;55120	protein ubiquitination;cellular response to DNA damage stimulus;nucleus	"modification by ubiquitination, deubiquitination;DNA damage response;nucleus"	FANCG;FANCA;RPA1;BLM;FANCC;TOP3A;FANCB;RMI1;FANCE;FANCF;FANCL	None	"The FA complex contains several other proteins of unknown function, called FAAPs."	FA complex is involved in Fanconi anemia (FA) disease.
MSH2-MSH6 complex	P43246;P52701	4436;2956	DNA repair;cellular response to DNA damage stimulus;nucleus	DNA repair;DNA damage response;nucleus	MSH2;MSH6	None	"The mismatch DNA repair complex hMSH2-MSH6, regulates BLM helicase activity."	None
TRAF6-MALT1 complex	Q9UDY8;Q9Y4K3	10892;7189	positive regulation of catalytic activity;enzyme activator activity	enzyme activator	MALT1;TRAF6	None	The CARD domain protein BCL10 and paracaspase MALT1 are essential for the activation of IkappaB kinase (IKK) and NF-kappaB in response to T cell receptor (TCR) stimulation. TRAF6 ubiquitin ligase and TAK1 protein kinase mediate IKK activation by BCL10 and MALT1. MALT1 binds to TRAF6 through the C-terminal binding sites and induces the oligomerization of TRAF6 to activate IKK.	None
TRAF2-MALT1 complex	Q12933;Q9UDY8	7186;10892	positive regulation of catalytic activity;enzyme activator activity	enzyme activator	TRAF2;MALT1	None	None	None
"Ubiquitin E3 ligase (TRAF6, TAB2, MALT1, UEV1A, BCL10)"	O95999;Q13404;Q9NYJ8;Q9UDY8;Q9Y4K3	8915;None;23118;10892;7189	protein ubiquitination;positive regulation of catalytic activity;enzyme activator activity;ubiquitin-dependent protein catabolic process	"modification by ubiquitination, deubiquitination;enzyme activator;proteasomal degradation (ubiquitin/proteasomal pathway)"	BCL10;UBE2V1;TAB2;MALT1;TRAF6	None	"The TRAF6 ubiquitin ligase and TAK1 kinase mediate IkappaB kinase (IKK) activation by BCL10 and MALT1 in T lymphocytes. NF-kappaB is a ubiquitous transcription factor that plays a central role in many biological processes including innate and adaptive immunity. NF-kappaB is regulated primarily through its association with an inhibitory protein of the IkappaB family, which binds to and retains NF-kappaB in the cytoplasm."	None
SETDB1-containing HMTase complex	Q15047;Q6VMQ6	9869;55729	"DNA topological change;negative regulation of transcription, DNA-templated;RNA biosynthetic process;protein hydroxylation;protein methylation;chromosome organization;nucleus"	"DNA conformation modification (e.g. chromatin);transcription repression;RNA synthesis;posttranslational modification of amino acids (e.g. hydroxylation, methylation);organization of chromosome structure;nucleus"	SETDB1;ATF7IP	None	ATF7IP stimulates the HMTase activity of ESET (SETDB1) through facilitating the ESET-dependent conversion of dimethyl H3-K9 to the trimethyl state.	None
CARMA1-BCL10-MALT1 complex	O95999;Q9BXL7;Q9UDY8	8915;84433;10892	I-kappaB kinase/NF-kappaB signaling;plasma membrane	NIK-I-kappaB/NF-kappaB cascade;eukaryotic plasma membrane / membrane attached	BCL10;CARD11;MALT1	None	"The multiprotein complex consisting of the membrane-associated adapter protein CARMA1, the caspase-like protein MALT1, and the adapter protein BCL-10 is critical for TCR-dependent activation of the I{kappa}B kinase complex and subsequent NF-{kappa}B nuclear translocation."	None
FYB-CARMA1-BCL-10-MALT1 complex	O15117;O95999;Q9BXL7;Q9UDY8	2533;8915;84433;10892	I-kappaB kinase/NF-kappaB signaling;plasma membrane	NIK-I-kappaB/NF-kappaB cascade;eukaryotic plasma membrane / membrane attached	FYB;BCL10;CARD11;MALT1	None	"FYB (ADAP) was found to be an integral part of the multiprotein complex consisting of the membrane-associated adapter protein CARMA1, the caspase-like protein MALT1, and the adapter protein BCL-10, which is critical for TCR-dependent activation of the I{kappa}B kinase complex and subsequent NF-{kappa}B nuclear translocation."	None
JUND-FOSB-SMAD3-SMAD4 complex	P17535;P53539;P84022;Q13485	3727;2354;4088;4089	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;enzyme linked receptor protein signaling pathway;apoptotic process;nucleus"	transcriptional control;receptor enzyme mediated signalling;apoptosis (type I programmed cell death);nucleus	JUND;FOSB;SMAD3;SMAD4	None	"The authors found that only JunD and FosB, but not the other components of the AP-1 complex, are markedly induced during TGF-beta 1-dependent apoptosis. FosB enhanced Smad3\u00b7Smad4-dependent transcription, and its dominant-negative form blocked TGF-beta 1-dependent apoptosis but not growth inhibition. These results suggest that JunD\u00b7FosB activates transcription of a putative target gene for TGF-beta 1, which is responsible for apoptosis."	None
17S U2 snRNP	O15042;O43143;O75533;O75937;O75940;P08579;P09661;P10809;P14678;P26368;P62304;P62306;P62308;P62314;P62316;P62318;Q01081;Q07955;Q12874;Q12931;Q13435;Q15393;Q15427;Q15428;Q15459;Q7L014;Q7RTV0;Q8IWX8;Q96I25;Q9BWJ5;Q9P0W2;Q9UHX1;Q9Y3B4	23350;1665;23451;22826;10285;6629;6627;3329;6628;11338;6635;6636;6637;6632;6633;6634;7307;6426;10946;10131;10992;23450;10262;8175;10291;9879;84844;10523;84991;83443;10362;22827;51639	RNA splicing;nucleus	splicing;nucleus	U2SURP;DHX15;SF3B1;DNAJC8;SMNDC1;SNRPB2;SNRPA1;HSPD1;SNRPB;U2AF2;SNRPE;SNRPF;SNRPG;SNRPD1;SNRPD2;SNRPD3;U2AF1;SRSF1;SF3A3;TRAP1;SF3B2;SF3B3;SF3B4;SF3A2;SF3A1;DDX46;PHF5A;CHERP;RBM17;SF3B5;HMG20B;PUF60;SF3B6	None	"Spliceosome assembly is initiated by the interaction of the U1 snRNP with the 5' splice site, forming the E complex. The latter also contains the 17S U2 snRNP, which at this stage associates via a non-base pairing interaction. In a subsequent ATP-dependent step, the U2 snRNA base pairs with the branch site of the pre-mRNA leading to stable association of the U2 snRNP and formation of the so-called A complex or prespliceosome."	None
"Ubiquitin ligase (UBE2N, UBE2V2)"	P61088;Q15819	7334;7336	protein ubiquitination;cellular protein modification process;kinase activator activity;signaling	"modification by ubiquitination, deubiquitination;protein modification;kinase activator;cellular signalling"	UBE2N;UBE2V2	None	"TRAF6 is a signal transducer that activates IkappaB kinase (IKK) and Jun amino-terminal kinase (JNK) in response to pro-inflammatory mediators such as interleukin-1 (IL-1) and lipopolysaccharides (LPS). IKK activation by TRAF6 requires two intermediary factors, TRAF6-regulated IKK activator 1 (TRIKA1) and TRIKA2. TRIKA1 is a dimeric ubiquitin-conjugating enzyme complex composed of UBE2N and UBE2V1 or the functionally equivalent UBE2V2. This Ubiquitin-protein ligase complex, together with TRAF6, catalyses the formation of a Lys 63 (K63)-linked polyubiquitin chain that mediates IKK activation through a unique proteasome-independent mechanism."	None
"SMN complex, U7 snRNA specific"	P14678;P62304;P62306;P62308;P62318;P83369;Q969L4	6628;6635;6636;6637;6634;134353;84967	RNA splicing;RNA biosynthetic process;protein complex assembly;RNA binding;cytoplasm;nucleus	splicing;RNA synthesis;assembly of protein complexes;RNA binding;cytoplasm;nucleus	SNRPB;SNRPE;SNRPF;SNRPG;SNRPD3;LSM11;LSM10	None	The Lsm11 protein of the U7 snRNA specific SMN complex plays an important role in histone RNA 3' end processing.	Spinal muscular atrophy (SMA)
